age,gender,instanceId,dropped,tutorialMins,tutorialWords,exitSurveyWords,effort,entropy,time,normalizedEffort,chatFrac,chatWeight,classifyFrac,classifyWeight,filterFrac,filterWeight,verifyFrac,verifyWeight,groupEffortFrac,groupChatFrac,groupClassifyFrac,groupFilterFrac,groupVerifyFrac,g_nominalSize,g_wallTime,g_fracFemale,g_personTime,g_totalEffort,g_effortPerPerson,g_fractionalScore,g_binaryScore,g_precision,g_recall,g_f1,g_avgIndivEntropy,g_effortEntropy,g_groupEntropy,g_eventCollaboration,g_eventCollaborationExVoting,g_chatFrac,g_chatWeight,g_classifyFrac,g_classifyWeight,g_filterFrac,g_filterWeight,g_verifyFrac,g_verifyWeight
28,male,2BZhkvvEsyoY8Kx7q,,10.45565,3,193,1.8175000602,1.4199128785,0.7335052778,2.4778281974,0,0,0.5175718891,0.9406869397,0.3411914355,0.6201154546,0.1412366753,0.2566976659,1,0,1,1,1,1,0.7337594444,,0.7335052778,1.8220320616,2.4840067506,9.9248760215,9,0.6428571429,0.1836734694,0.2857142857,1.4199128785,0,1.4199128785,1,1,0,0,0.5175718891,0.9406869397,0.3411914355,0.6201154546,0.1412366753,0.2566976659
26,female,ydkxAJ8yqNe3SqJYH,,18.4099,55,104,0.8302088751,1.1762684662,0.7521055556,1.1038462208,0,0,0.6686961004,0.5551574373,0.2537971233,0.2107046243,0.0775067763,0.0643468135,1,0,1,1,1,1,0.7521605556,1,0.7521055556,0.8429832944,1.1208310963,6.25,6,0.75,0.1224489796,0.2105263158,1.1762684662,0,1.1762684662,1,1,0,0,0.6686961004,0.5551574373,0.2537971233,0.2107046243,0.0775067763,0.0643468135
37,female,EGjjnWNcydTjRLYmz,,703.6657,44,67,0.6358536618,0.7729828064,0.5914505556,1.0750749252,0,0,0.8249794526,0.5245662058,0.1498757179,0.0952990241,0.0251448295,0.0159884319,1,0,1,1,1,1,0.5917491667,1,0.5914505556,0.6681108378,1.1296140167,1.8058854525,0,0,0,0,0.7729828064,0,0.7729828064,1,1,0,0,0.8249794526,0.5245662058,0.1498757179,0.0952990241,0.0251448295,0.0159884319
21,male,z6RuHQD8kiG2H7Eva,,5.9036666667,35,122,0.8092959458,1.0743991529,0.7016486111,1.1534205768,0,0,0.6706027793,0.5427161105,0.2946653744,0.2384714929,0.0347318463,0.0281083424,1,0,1,1,1,1,0.7588955556,,0.7016486111,0.825068286,1.1758995499,4.3527105269,2,0.1538461538,0.0408163265,0.064516129,1.0743991529,0,1.0743991529,1,1,0,0,0.6706027793,0.5427161105,0.2946653744,0.2384714929,0.0347318463,0.0281083424
24,female,wJTD7CaetAsnF8QF7,,13.7513,40,165,1.1491421613,1.4096285977,0.7512747222,1.5295898122,0,0,0.5738868577,0.659477584,0.2030772511,0.2333646312,0.2230358912,0.256299946,1,0,1,1,1,1,0.7649697222,1,0.7512747222,1.1536741626,1.5356222278,8.3094964964,8,0.7272727273,0.1632653061,0.2666666667,1.4096285977,0,1.4096285977,1,1,0,0,0.5738868577,0.659477584,0.2030772511,0.2333646312,0.2230358912,0.256299946
22,male,2BbazZrihhGuffT3D,,13.4460166667,21,40,2.1996448137,0.7876497825,0.7075491667,3.1088225629,0.0063387031,0.0139428955,0.136322041,0.2998600705,0.8331190336,1.8325659615,0.0242202223,0.0532758863,1,1,1,1,1,1,0.7117880556,,0.7075491667,2.2458746588,3.1741605595,3.2297334731,3,0.6,0.0612244898,0.1111111111,0.7876497825,0,0.7876497825,1,1,0.0063387031,0.0139428955,0.136322041,0.2998600705,0.8331190336,1.8325659615,0.0242202223,0.0532758863
44,female,cXCf79DYGPgrhhxEG,,35.79645,61,165,0.7359977176,1.0949493511,0.7687516667,0.9573933294,0,0,0.7188310019,0.5290579768,0.2043279378,0.1503848959,0.0768410602,0.0565548449,1,0,1,1,1,1,0.7689033333,1,0.7687516667,0.7652569726,0.9954540663,5.0967841875,5,0.7142857143,0.1020408163,0.1785714286,1.0949493511,0,1.0949493511,1,1,0,0,0.7188310019,0.5290579768,0.2043279378,0.1503848959,0.0768410602,0.0565548449
29,female,WPE2SnMdJCrfva6RD,,10.1358833333,19,47,0.7741263896,1.3079590369,0.7487905556,1.0338356752,0,0,0.5895408611,0.4563791383,0.3089590424,0.239173348,0.1015000965,0.0785739032,1,0,1,1,1,1,0.7661047222,1,0.7487905556,0.7869008088,1.0508957451,3.8842540843,1,0.1111111111,0.0204081633,0.0344827586,1.3079590369,0,1.3079590369,1,1,0,0,0.5895408611,0.4563791383,0.3089590424,0.239173348,0.1015000965,0.0785739032
38,female,A7mLwhnbn48wKqFSN,,36.1049333333,14,149,0.3889481017,1.5596871496,0.7867911111,0.4943473512,0.0358477015,0.0139428955,0.5543581841,0.2156165634,0.1499972812,0.0583411578,0.2597968331,0.1010474851,1,1,1,1,1,1,0.7869061111,1,0.7867911111,0.4441975685,0.5645686158,1.75,1,0.3333333333,0.0204081633,0.0384615385,1.5596871496,0,1.5596871496,1,1,0.0358477015,0.0139428955,0.5543581841,0.2156165634,0.1499972812,0.0583411578,0.2597968331,0.1010474851
52,male,sXSctbGdzhqMxpfWk,,17.9387833333,46,141,0.73177134,1.3565561893,0.7774613889,0.9412317453,0,0,0.6002854899,0.4392717173,0.243626321,0.1782787594,0.1560881891,0.1142208633,1,0,1,1,1,1,0.7775394444,,0.7774613889,0.7363033414,0.9470609755,5.553047635,6,1,0.1224489796,0.2181818182,1.3565561893,0,1.3565561893,1,1,0,0,0.6002854899,0.4392717173,0.243626321,0.1782787594,0.1560881891,0.1142208633
