age,gender,instanceId,dropped,tutorialMins,tutorialWords,exitSurveyWords,effort,entropy,time,normalizedEffort,chatFrac,chatWeight,classifyFrac,classifyWeight,filterFrac,filterWeight,verifyFrac,verifyWeight,groupEffortFrac,groupChatFrac,groupClassifyFrac,groupFilterFrac,groupVerifyFrac,g_nominalSize,g_wallTime,g_fracFemale,g_personTime,g_totalEffort,g_effortPerPerson,g_fractionalScore,g_binaryScore,g_precision,g_recall,g_f1,g_avgIndivEntropy,g_effortEntropy,g_groupEntropy,g_eventCollaboration,g_eventCollaborationExVoting,g_chatFrac,g_chatWeight,g_classifyFrac,g_classifyWeight,g_filterFrac,g_filterWeight,g_verifyFrac,g_verifyWeight
28,male,2BZhkvvEsyoY8Kx7q,,10.45565,3,193,2.4601133485,1.4002700048,0.9761258333,2.520283005,0,0,0.4626789387,1.1382426331,0.4213674617,1.0366117171,0.1159535996,0.2852589982,1,0,1,1,1,1,0.97638,,0.9761258333,2.4646453499,2.5249258504,11.2914329458,10,0.6666666667,0.2040816327,0.3125,1.4002700048,0,1.4002700048,1,1,0,0,0.4626789387,1.1382426331,0.4213674617,1.0366117171,0.1159535996,0.2852589982
26,female,ydkxAJ8yqNe3SqJYH,,18.4099,55,104,1.1095346959,1.3052297081,0.9910658333,1.1195368245,0,0,0.5848965286,0.6489629921,0.3177912137,0.3526003777,0.0973122577,0.1079713262,1,0,1,1,1,1,0.9911208333,1,0.9910658333,1.1223091152,1.1324264014,7.4383605272,8,0.8888888889,0.1632653061,0.275862069,1.3052297081,0,1.3052297081,1,1,0,0,0.5848965286,0.6489629921,0.3177912137,0.3526003777,0.0973122577,0.1079713262
37,female,EGjjnWNcydTjRLYmz,,703.6657,44,67,0.7480625295,0.9475521013,0.776185,0.9637683407,0,0,0.7867497509,0.5885380087,0.1378044045,0.1030863114,0.0754458446,0.0564382094,1,0,1,1,1,1,0.7764836111,1,0.776185,0.7803197055,1.0053269588,2.5558854525,1,0.1666666667,0.0204081633,0.0363636364,0.9475521013,0,0.9475521013,1,1,0,0,0.7867497509,0.5885380087,0.1378044045,0.1030863114,0.0754458446,0.0564382094
21,male,z6RuHQD8kiG2H7Eva,,5.9036666667,35,122,0.9920358002,1.1281399395,0.9321563889,1.0642375164,0,0,0.6253471785,0.6203667886,0.3377370376,0.3350472324,0.0369157839,0.0366217792,1,0,1,1,1,1,0.9894033333,,0.9321563889,1.0078081404,1.081157789,4.9873767413,2,0.1538461538,0.0408163265,0.064516129,1.1281399395,0,1.1281399395,1,1,0,0,0.6253471785,0.6203667886,0.3377370376,0.3350472324,0.0369157839,0.0366217792
24,female,wJTD7CaetAsnF8QF7,,13.7513,40,165,1.5510381287,1.414981591,0.9981741667,1.5538752459,0,0,0.5669740997,0.8793984467,0.24404021,0.3785156706,0.1889856903,0.2931240114,1,0,1,1,1,1,1.0118691667,1,0.9981741667,1.5555701301,1.5584155371,9.5788820543,8,0.5333333333,0.1632653061,0.25,1.414981591,0,1.414981591,1,1,0,0,0.5669740997,0.8793984467,0.24404021,0.3785156706,0.1889856903,0.2931240114
22,male,2BbazZrihhGuffT3D,,13.4460166667,21,40,2.5709721503,0.8532474672,0.9432119444,2.7257629268,0.0054231997,0.0139428955,0.1608554154,0.4135547931,0.8071843893,2.0752485852,0.0265369956,0.0682258765,1,1,1,1,1,1,0.9474508333,,0.9432119444,2.6172019953,2.7747761367,4.3132064832,3,0.5,0.0612244898,0.1090909091,0.8532474672,0,0.8532474672,1,1,0.0054231997,0.0139428955,0.1608554154,0.4135547931,0.8071843893,2.0752485852,0.0265369956,0.0682258765
44,female,cXCf79DYGPgrhhxEG,,35.79645,61,165,1.0835384062,1.2914168443,0.9986555556,1.0849971245,0.0128679292,0.0139428955,0.617285143,0.6688521599,0.3038549568,0.3292385156,0.0659919711,0.0715048352,1,1,1,1,1,1,0.9988072222,1,0.9986555556,1.135012748,1.1365407639,6.0792460141,5,0.5555555556,0.1020408163,0.1724137931,1.2914168443,0,1.2914168443,1,1,0.0128679292,0.0139428955,0.617285143,0.6688521599,0.3038549568,0.3292385156,0.0659919711,0.0715048352
29,female,WPE2SnMdJCrfva6RD,,10.1358833333,19,47,0.9708729932,1.3760380791,0.9895786111,0.9810973906,0,0,0.4700708965,0.4563791383,0.4259001632,0.4134949663,0.1040289403,0.1009988886,1,0,1,1,1,1,1.0068927778,1,0.9895786111,0.9836474124,0.9940063391,3.8842540843,1,0.1111111111,0.0204081633,0.0344827586,1.3760380791,0,1.3760380791,1,1,0,0,0.4700708965,0.4563791383,0.4259001632,0.4134949663,0.1040289403,0.1009988886
38,female,A7mLwhnbn48wKqFSN,,36.1049333333,14,149,0.4228011488,1.4992119451,1.0351419444,0.4084475091,0.0329774304,0.0139428955,0.5900400488,0.2494696105,0.1379872263,0.0583411578,0.2389952945,0.1010474851,1,1,1,1,1,1,1.0352569444,1,1.0351419444,0.4780506156,0.4618213166,2,1,0.3333333333,0.0204081633,0.0384615385,1.4992119451,0,1.4992119451,1,1,0.0329774304,0.0139428955,0.5900400488,0.2494696105,0.1379872263,0.0583411578,0.2389952945,0.1010474851
52,male,sXSctbGdzhqMxpfWk,,17.9387833333,46,141,0.8781990948,1.4133822884,0.9746286111,0.9010602447,0,0,0.5001960489,0.4392717173,0.3697413446,0.3247065142,0.1300626065,0.1142208633,1,0,1,1,1,1,0.9747066667,,0.9746286111,0.8827310962,0.9057102224,5.553047635,6,1,0.1224489796,0.2181818182,1.4133822884,0,1.4133822884,1,1,0,0,0.5001960489,0.4392717173,0.3697413446,0.3247065142,0.1300626065,0.1142208633
